LIGGGHTS (Version LIGGGHTS-PUBLIC 3.8.0, compiled 2024-03-31-20:10:17 by buildd, git commit unknown)
Reading data file ...
  orthogonal box = (-1 -1 -1) to (1 7 1)
  1 by 1 by 1 MPI processor grid
  100 atoms

Reading STL file 'wall.stl' (mesh processing step 1/3) 
Setting up run at Sun Mar 15 12:26:25 2026

Mesh cad: 1 elements have high aspect ratio (soft limit: smallest angle > 0.500000 ° required)
WARNING: Fix mesh: Mesh contains highly skewed element, moving mesh (if used) will not parallelize well (./src/surface_mesh_I.h:657)
WARNING: Mesh cad: proc 0 has 1 element pairs that are coplanar, share an edge and overlap (but are not duplicate)
Import and parallelization of mesh cad containing 2498 triangle(s) successful
Memory usage per processor = 14.4494 Mbytes
    Step    Atoms         KinEng            CPU 
       0      100              0              0 
    1000      100    0.054420232    0.007058688 
    2000      100     0.21768093    0.020137734 
    3000      100     0.48978209    0.037681294 
    4000      100     0.87072372    0.057692071 
    5000      100      1.3605058    0.080180858 
    6000      100      1.9591284      0.1062581 
    7000      100      2.6665914     0.13553262 
    8000      100      3.4828949      0.1695652 
    9000      100      4.4080388     0.20336193 
   10000      100      5.4420232     0.24256627 
   11000      100      6.5848481     0.28289385 
   12000      100      7.8365135     0.32972787 
   13000      100      9.1970193     0.37910406 
   14000      100      10.666366     0.43047524 
   15000      100      12.244552     0.48418714 
   16000      100       13.93158     0.54330875 
   17000      100      15.727447     0.60496523 
   18000      100      17.632155     0.66754112 
   19000      100      19.645704      0.7316896 
   20000      100      21.768093     0.80491673 
   21000      100      23.999323     0.87492109 
   22000      100      26.339393     0.95309853 
   23000      100      28.788303      1.0317131 
   24000      100      31.346054      1.1128576 
   25000      100      34.012645      1.2007054 
   26000      100      36.788077      1.2927628 
   27000      100      39.672349      1.3830453 
   28000      100      42.665462      1.4785328 
   29000      100      45.767415      1.5731374 
   30000      100      48.978209      1.6705384 
   31000      100      52.297843      1.7732256 
   32000      100      55.726318      1.8763106 
   33000      100      59.263633      1.9884868 
   34000      100      62.909789      2.0996639 
   35000      100      66.277962      2.2192572 
   36000      100      69.049875      2.3360574 
